Country ID,Country,Year,Section ID,Section,Trade Flow ID,Trade Flow,Million SAR
abw,Aruba,2022,Animal and Vegetable Fats; Oils; Waxes and Their Products,"",1,Imports,0.0
abw,Aruba,2022,"Articles of Stone, of Plaster, Cement, Asbestos, Mica, Ceramic Products, Glassware","",1,Imports,0.011998
abw,Aruba,2022,Base Metals and Articles of Base Metals,"",1,Imports,0.198855
abw,Aruba,2022,"Footwear, Headgear, Umbrellas, Whips, Artificial Flowers, Articles of Human Hair","",1,Imports,0.0
abw,Aruba,2022,Live Animals; Animal Products,"",1,Imports,0.0
abw,Aruba,2022,Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof,"",1,Imports,0.093459
abw,Aruba,2022,"Optical, Photographic, Cinematographic, Clocks and Watches Parts Thereof","",1,Imports,0.047234
abw,Aruba,2022,Paper-Making Material; Paper and Articles Thereof,"",1,Imports,5.111555
abw,Aruba,2022,"Pearls, Precious and Semi-Precious, False Jewelry","",1,Imports,0.0
abw,Aruba,2022,Plastics and Articles Thereof; Rubber and Articles Thereof,"",1,Imports,1.074593
abw,Aruba,2022,Prepared Foodstuffs; Beverages; Tobacco,"",1,Imports,0.001849
abw,Aruba,2022,Products of The Chemical and Allied Industries,"",1,Imports,1.0061769999999999
abw,Aruba,2022,"Raw Hides and Skins, Leather, Furs and Articles Thereof; Suitcases; Handbags and Similar","",1,Imports,0.0
abw,Aruba,2022,S05,Mineral Products,1,Imports,0.0
abw,Aruba,2022,S19,Arms and Ammunition; Parts and Accessories Thereof,1,Imports,0.0
abw,Aruba,2022,S20,Miscellaneous Manufactured Articles,1,Imports,0.06654499999999999
abw,Aruba,2022,Textiles and Textile Articles,"",1,Imports,0.46833
abw,Aruba,2022,Transport Equipment and Parts Thereof,"",1,Imports,0.180849
abw,Aruba,2022,Vegetable Products ,"",1,Imports,0.0
abw,Aruba,2022,Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork,"",1,Imports,0.0
abw,Aruba,2022,"Works of Arts, Collectors Pieces and Antiques","",1,Imports,0.10021400000000001
abw,Aruba,2023,Animal and Vegetable Fats; Oils; Waxes and Their Products,"",1,Imports,0.0
abw,Aruba,2023,"Articles of Stone, of Plaster, Cement, Asbestos, Mica, Ceramic Products, Glassware","",1,Imports,0.0
abw,Aruba,2023,Base Metals and Articles of Base Metals,"",1,Imports,0.135191
abw,Aruba,2023,"Footwear, Headgear, Umbrellas, Whips, Artificial Flowers, Articles of Human Hair","",1,Imports,0.0
abw,Aruba,2023,Live Animals; Animal Products,"",1,Imports,0.0
abw,Aruba,2023,Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof,"",1,Imports,0.428709
abw,Aruba,2023,"Optical, Photographic, Cinematographic, Clocks and Watches Parts Thereof","",1,Imports,1.321456
abw,Aruba,2023,Paper-Making Material; Paper and Articles Thereof,"",1,Imports,9.773586
abw,Aruba,2023,"Pearls, Precious and Semi-Precious, False Jewelry","",1,Imports,0.0
