Year,Section ID,Section,top1_country,top1_share,top1_imports,top5_share,Country_rank2,Country_rank3,imports_rank2,imports_rank3,share_rank2,share_rank3
2024,S19,Arms and Ammunition; Parts and Accessories Thereof,United States,0.6011045605732162,4754.724811,0.8673736409974273,South Korea,China,1055.607134,443.445167,0.13345257352287643,0.05606148049434432
2024,S08,"Skins, leather and their articles, handbags and similar",China,0.5890118875776529,1484.212659,0.8476111175338426,Italy,France,400.9685420000001,102.36692599999999,0.15912493155920418,0.04062445899727493
2024,S12,"Footwear, headgear, umbrellas, sticks",China,0.5380659596066568,2549.408624,0.8554551772920475,Vietnam,Italy,636.160119,474.009584,0.13426490428833662,0.10004218989325589
2024,S14,"Precious stones or metals and their articles, jewelry",Switzerland,0.49721248247718886,19103.928189,0.9163243568059791,United Arab Emirates,China,12138.360647000001,1465.816847,0.31592164557933305,0.03815039640765663
2024,S20,Miscellaneous Manufactured Articles,China,0.4845903154480799,9398.932951,0.6826889680249337,Italy,United Arab Emirates,1329.583615,1024.514524,0.06855069046310173,0.05282193403810562
2024,S11,Textiles and their articles,China,0.4623820407498569,10606.575355,0.7378604147927482,India,Türkiye,2610.176805,1825.847745,0.11378780024835275,0.07959583354429713
2024,S21,Works of arts and antiqes,China,0.44089588416306175,8170.399848,0.9184219595192311,Hong Kong,United States,4487.897005,1846.461257,0.24217851694695072,0.09963981979133285
2024,S16,"Machinery and mechanical appliances, electrical equipment, parts thereof",China,0.408124994623111,85299.231052,0.6649190949244359,United States,Germany,22922.429175999998,11291.861869,0.10967527102912017,0.05402734594126781
2024,S03,"Animal and vegetable fats, oils, waxex and their products",Indonesia,0.3500031912104835,1771.1121099999998,0.7114366774975317,Malaysia,Sultanate of Oman,855.452377,359.43246999999997,0.16905257447457328,0.07103023620829196
2024,S07,"Plastics, rubber and their articles",China,0.3411048430714906,9674.420290999999,0.6159134926326786,United Arab Emirates,United States,2786.162186,2081.807981,0.09823569646972775,0.07340127504328019
2024,S13,"Articles of stone, plaster, cement, ceramic, glass",China,0.33679204452879147,3129.6126999999997,0.6382115645477043,United Arab Emirates,Italy,874.981608,689.3773229999999,0.09416080292727902,0.07418707051673042
2024,S05,Mineral Products,Egypt,0.3281935381871518,16810.935959,0.7526970808854344,United Arab Emirates,Russian Federation,7064.558301000001,5959.156125,0.13791869710224766,0.11633834892020643
2024,S10,"Paper, paperboard and their articles",China,0.25838051188374,2124.440442,0.5551042761952563,United Arab Emirates,United States,776.1541990000001,625.374814,0.0943980896209724,0.07605987033856264
2024,S15,Base metals and their articles,China,0.251792091501388,18897.959055,0.5087195582956798,India,United Arab Emirates,6739.677598,4715.773996,0.08979792545356803,0.06283189597590638
2024,S18,"Optical, photographic, measuring, checking, medical instruments and apparatus; clocks and musical Instruments",United States,0.23335628055786622,5635.1897180000005,0.5986310794289966,China,Germany,3351.54076,2332.4317140000003,0.13878913133899995,0.0965872697587586
2024,S09,"Wood, cork, plaiting materials and their articles",China,0.22835814529893472,1374.88589,0.5186027399630209,Indonesia,Thailand,549.604789,472.722617,0.0912851976853529,0.0785156505308078
2024,S17,"Vehicles, aircraft, vessels and associated transport equipment",China,0.21943152920723952,24692.711942,0.6129387038837539,Japan,United States,18381.863576,11859.099075999999,0.16335024049342373,0.10538576124725445
2024,S02,Plant Products,India,0.19945618828508252,6900.910230999999,0.44565215879055337,United States,Russian Federation,3001.436726,2060.339004,0.08675016899329634,0.05954973337674814
2024,S01,Animals and their products,Brazil,0.17574392552935503,4814.400799999999,0.459863140777505,Sudan,New Zealand,2758.909323,2451.976886,0.10071067506543188,0.08950647466926391
2024,S04,"Prepared foodstuffs, beverages and tobacco",Brazil,0.13875590757540773,5138.920539,0.35944848190401013,United Arab Emirates,Ireland,3188.1585130000003,1898.484624,0.08608341471877688,0.05126095159905657
2024,S06,Products of the chemical industries,United States,0.12866298217143712,9992.116414,0.453706307084885,Germany,China,8493.190359999999,6034.269044,0.1093621365676076,0.07769996047464253
